"Shape","Date","Value"
"diamond","Feb-13"," 7"
"diamond","Feb-14"," 15"
"diamond","Feb-15"," 6"
"diamond","Feb-16"," 2"
"diamond","Feb-17"," 7"
"diamond","Jan-14"," 13"
"diamond","Jan-15"," 13"
"diamond","Jan-16"," 7"
"diamond","Jul-13"," 5"
"diamond","Jul-14"," 9"
"diamond","Jul-15"," 5"
"diamond","Jul-16"," 7"
"diamond","Jul-17"," 7"
"diamond","Jun-13"," 10"
"diamond","Jun-14"," 10"
"diamond","Jun-15"," 4"
"diamond","Jun-16"," 11"
"diamond","Jun-17"," 13"
"diamond","Mar-13"," 11"
"diamond","Mar-14"," 6"
"diamond","Mar-15"," 8"
"diamond","Mar-16"," 7"
"diamond","Mar-17"," 6"
"diamond","May-13"," 2"
"diamond","May-14"," 10"
"diamond","May-15"," 3"
"diamond","May-16"," 4"
"diamond","May-17"," 11"
"diamond","Nov-13"," 13"
"diamond","Nov-14"," 7"
"diamond","Nov-15"," 12"
"diamond","Nov-16"," 8"
"diamond","Oct-13"," 20"
"diamond","Oct-14"," 10"
"diamond","Oct-15"," 11"
"diamond","Oct-16"," 11"
"diamond","Sep-13"," 9"
"diamond","Sep-14"," 18"
"diamond","Sep-15"," 9"
"diamond","Sep-16"," 4"
"disk","Apr-13"," 10"
"disk","Apr-14"," 29"
"disk","Apr-15"," 14"
"disk","Apr-16"," 16"
"disk","Apr-17"," 19"
"disk","Aug-13"," 27"
"disk","Aug-14"," 27"
"disk","Aug-15"," 15"
"disk","Aug-16"," 21"
"disk","Aug-17"," 17"
"disk","Dec-13"," 14"
"disk","Dec-14"," 19"
"disk","Dec-15"," 10"
"disk","Dec-16"," 11"
"disk","Feb-13"," 6"
"disk","Feb-14"," 18"
"disk","Feb-15"," 13"
"disk","Feb-16"," 20"
"disk","Feb-17"," 11"
"disk","Jan-13"," 20"
"disk","Jan-14"," 21"
"disk","Jan-15"," 20"
"disk","Jan-16"," 17"
"disk","Jan-17"," 8"
"disk","Jul-13"," 27"
"disk","Jul-14"," 37"
"disk","Jul-15"," 29"
"disk","Jul-16"," 21"
"disk","Jul-17"," 16"
"disk","Jun-13"," 26"
"disk","Jun-14"," 30"
"disk","Jun-15"," 16"
"disk","Jun-16"," 13"
"disk","Jun-17"," 20"
"disk","Mar-13"," 8"
"disk","Mar-14"," 23"
"disk","Mar-15"," 28"
"disk","Mar-16"," 28"
"disk","Mar-17"," 13"
"disk","May-13"," 16"
"disk","May-14"," 22"
"disk","May-15"," 22"
"disk","May-16"," 18"
"disk","May-17"," 15"
"disk","Nov-13"," 21"
"disk","Nov-14"," 17"
"disk","Nov-15"," 18"
"disk","Nov-16"," 18"
"disk","Oct-13"," 28"
"disk","Oct-14"," 32"
"disk","Oct-15"," 16"
"disk","Oct-16"," 28"
"disk","Sep-13"," 35"
"disk","Sep-14"," 28"
"disk","Sep-15"," 26"
"disk","Sep-16"," 24"
"egg","Apr-14"," 5"
"egg","Apr-15"," 2"
"egg","Apr-16"," 3"
"egg","Apr-17"," 2"
"egg","Aug-13"," 6"
"egg","Aug-14"," 3"
"egg","Aug-15"," 2"
"egg","Aug-16"," 7"
"egg","Aug-17"," 4"
"egg","Dec-13"," 4"
"egg","Dec-14"," 2"
"egg","Dec-15"," 1"
"egg","Dec-16"," 3"
"egg","Feb-14"," 2"
"egg","Feb-15"," 2"
"egg","Feb-16"," 1"
"egg","Feb-17"," 4"
"egg","Jan-13"," 2"
"egg","Jan-14"," 8"
"egg","Jan-15"," 1"
"egg","Jan-16"," 1"
"egg","Jan-17"," 2"
"egg","Jul-13"," 10"
"egg","Jul-14"," 10"
"egg","Jul-15"," 4"
"egg","Jul-16"," 4"
"egg","Jul-17"," 1"
"egg","Jun-13"," 8"
"egg","Jun-14"," 7"
"egg","Jun-15"," 4"
"egg","Jun-16"," 2"
"egg","Jun-17"," 4"
"egg","Mar-13"," 5"
"egg","Mar-14"," 4"
"egg","Mar-15"," 1"
"egg","Mar-16"," 3"
"egg","Mar-17"," 1"
"egg","May-13"," 3"
"egg","May-14"," 7"
"egg","May-15"," 3"
"egg","May-16"," 1"
"egg","May-17"," 3"
"egg","Nov-13"," 5"
"egg","Nov-14"," 3"
"egg","Nov-15"," 7"
"egg","Nov-16"," 2"
"egg","Oct-13"," 4"
